question_id,time_stamp,time_spent_min,misc_1a,misc_1b,misc_1c,misc_2a,misc_2b,misc_3a,misc_3b,misc_3c,misc_4a,misc_4b,misc_5a,misc_6a,seq
39,2/7/23,10,87.1,76.7,67.4,69.4,97,87.1,98.9,73.8,87,72.7,91.8,80.3,47
39,2/7/23,10,72.9,82.4,88.7,92.8,75.4,86.6,80.9,78.6,94.3,78.7,78,88.2,48
40,2/8/23,10,13.4,47.4,71.4,62.8,37,40.2,33.9,50.4,77.2,40.4,41.5,47.5,49
41,2/9/23,8.4,65.9,84.5,19.7,70.9,71.7,54,42.2,48.3,34.8,20.6,21.4,43.7,50
42,2/11/23,2.6,5.1,55.3,50,42.9,54,62,52.9,62.1,57.7,64.3,32.8,8,51
43,2/12/23,18.7,0.8,48.8,32,42.5,65.4,28.1,54.5,53.3,61.3,43.2,46,70.4,52
43,2/12/23,18.7,75.9,69.9,79,93.1,94.7,71.6,68.5,92.7,78.5,71.1,82,83.9,53
44,2/13/23,13,30.6,37.2,64.2,37.8,33,33.9,46.2,60.5,20.6,72.2,54.1,66.3,54
45,2/14/23,2.7,62.5,68.6,58.5,55.9,60,49.2,53.8,53.4,33.6,64.4,61.2,62.5,55
46,2/18/23,15.4,64.9,23.7,59.1,42.6,14.4,76.2,47.7,39.2,86.2,45,16.9,63.8,56
47,2/20/23,11.7,63.9,52.4,46,82.4,42.7,60.1,77.8,52.9,68.1,69.5,49.6,63.6,57
48,2/23/23,11.6,49.7,45.9,54.1,22.4,11.3,61.1,76,38.2,85,44.3,82.6,43,58
49,2/27/23,16.5,59,80.6,22.1,95.6,45.1,33.3,33.3,50.2,40.3,52.9,53.7,55.1,59
50,3/1/23,6.9,19.3,75.8,44.8,49.2,42.6,37.9,50.6,52.1,47.4,54.5,7.9,45.2,60
