"","question_id","time_stamp","time_spent_min","misc_1a","misc_1b","misc_1c","misc_2a","misc_2b","misc_3a","misc_3b","misc_3c","misc_4a","misc_4b","misc_5a","misc_6a"
"14",14,2022-12-20,5.9,69.9,57.8,48.6,63.3,16,39.8,41.4,80.8,48.2,47.7,60.3,22.3
"15",15,2022-12-21,6.5,37.9,46.5,48.7,44.7,58.2,54.2,24,75.6,47.3,22.7,53.5,67.2
"16",16,2022-12-23,20.3,46.1,56.8,62,26,37.2,60.4,26.4,29.6,54.8,39.8,17.1,81.1
"17",17,2022-12-24,18.1,29.7,60.8,59.4,39.7,38.3,45.7,86.4,22.7,10.5,26.4,60.2,30.9
"18",18,2022-12-25,6.1,48.2,29.2,42.7,28.7,69.7,17.7,11.4,77.5,79.3,58.8,59.1,35.7
"19",19,2022-12-30,11,35.4,49.8,34.1,35.7,65.6,64,62.6,99.8,46.3,52.6,70.1,65.2
"20",20,2022-12-31,18.1,75.2,87.7,57.6,58,58.4,8.2,74.5,49.8,48.8,66.1,58.5,62.7
"21",21,2023-01-03,13.6,21.8,67.4,42.8,46.4,74.6,96.1,26.9,64.2,58.7,68.5,57.2,70.9
"22",22,2023-01-04,16.1,61.1,59.8,30,74.7,62.2,20.8,11,46.8,41.3,67.5,25.4,8.8
"23",23,2023-01-05,8.4,16.5,46.7,71.4,57.8,48.1,38.5,50.5,51.2,35.2,40.8,23,64.7
"231",23,2023-01-05,8.4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"23.1",23,2023-01-05,8.4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"24",24,2023-01-06,1.8,48.2,47.3,88,87.9,77.8,66.1,69.9,54.1,38.2,72.2,71.2,47.3
"25",25,2023-01-07,29.2,75.6,56,38.9,64.7,68.7,55.6,33.7,51,37.4,47.6,41,5.2
"26",26,2023-01-08,23.3,23.2,82.1,41.2,45.7,20.9,59.7,54.7,57.1,38,96.9,1.4,57.3
"261",26,2023-01-08,23.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"26.1",26,2023-01-08,23.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"27",27,2023-01-09,25.6,33.2,59.7,54.3,14.3,63.3,45.9,24.9,77.3,10.6,66.7,70.3,26
"28",28,2023-01-11,6.6,53.7,68.1,46.2,17.6,42,31.1,99.4,49.7,16.6,38.5,39,54.2
"29",29,2023-01-12,4.8,27.7,42.7,80.3,80.8,45.3,63.6,64.2,28.9,47.7,54.1,53.9,52.9
"30",30,2023-01-13,3,44.1,60.8,39,74.3,63.5,76.9,57.1,59.6,45.2,26,75,33
"31",31,2023-01-14,13.9,38.1,61.9,94.5,47.7,23.3,61.7,20.9,67.7,16.4,33.1,65.6,31.8
"32",32,2023-01-18,29.9,43.6,76.2,40,66.8,75.3,54.8,10.2,69.9,71.2,48.4,26.1,67.1
"33",33,2023-01-19,27.1,77.3,57.6,63.2,33.3,67.4,13.5,65.8,58.5,39,43.3,49.5,13.5
"34",34,2023-01-20,12.4,58.9,58.4,85.5,60.9,60,46.6,49.4,57.1,73.8,59.5,68.5,20.8
"35",35,2023-01-21,28,54.9,69.3,43.9,89,29.7,2.2,39.4,22.6,28.3,65.7,53.8,51.4
"36",36,2023-01-24,10.7,48.4,54.7,54.9,53.4,47.8,17.3,41.2,74.4,16.9,35.4,65.8,40.9
"361",36,2023-01-24,10.7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"36.1",36,2023-01-24,10.7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"37",37,2023-01-29,3.2,37.5,47.7,19.3,42.1,51.4,42.5,27.1,65.6,40.4,72.8,59.2,50.4
"371",37,2023-01-29,3.2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"37.1",37,2023-01-29,3.2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"38",38,2023-01-31,13.7,55.3,72.4,93.3,46.3,18.9,17.1,36.4,66.4,24.2,36.4,53,41.7
"39",39,2023-02-02,17.5,49.1,37.4,56,70.6,24.6,35.5,59.9,45.9,9.2,50,56.2,45.3
"40",40,2023-02-05,3.1,60,41.3,44.4,52.5,89.7,46.2,47.5,19.1,80.6,34.2,23.8,43.5
"41",41,2023-02-06,28.9,80,25,31.4,49,60,18.7,87.9,67.7,25.6,48.5,51.9,87
"42",42,2023-02-10,7.2,56.7,30.3,73.1,19.2,23.6,68.1,58.4,28,62.8,64.8,30.6,21.3
"421",42,2023-02-10,7.2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"42.1",42,2023-02-10,7.2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"43",43,2023-02-11,7.9,76.1,43.5,94,59.8,62,65.4,29.1,84,85.6,59.9,34.6,52.1
"44",44,2023-02-13,9.9,55.9,42.6,16.3,39.5,29.1,60.7,36.5,77.9,64.6,37.6,4.4,35.9
"441",44,2023-02-13,9.9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"44.1",44,2023-02-13,9.9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"45",45,2023-02-15,4.8,42.7,36.8,53.6,40.5,54.8,40.1,86.3,24.7,69.3,24.8,48.2,86.7
"451",45,2023-02-15,4.8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"45.1",45,2023-02-15,4.8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"46",46,2023-02-19,15.9,24.7,69.8,48.9,59.9,33.8,19.9,43.9,43.8,57.9,24.5,46.5,61.7
"47",47,2023-02-22,23.2,50.8,61,46.4,66.6,32.7,62.9,65.6,73.7,42.1,41.9,60.9,78.1
"48",48,2023-02-24,25.4,34.7,60.2,46.3,53.3,19.3,49.3,43.2,45.5,71.4,29.8,62,71
"49",49,2023-02-26,20.6,46.4,45.2,40.6,68.3,51.9,46.5,52.2,41.1,68.8,46.1,68.4,71.7
"50",50,2023-02-27,9.8,57.6,61.3,53.1,45.1,60.9,67.8,67.2,72.9,48.3,39.3,58.2,18.8
"501",50,2023-02-27,9.8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"50.1",50,2023-02-27,9.8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
