question_id,time_stamp,time_spent_min,misc_1a,misc_1b,misc_1c,misc_2a,misc_2b,misc_3a,misc_3b,misc_3c,misc_4a,misc_4b,misc_5a,misc_6a,seq,student_id
31,1/31/23,19.9,39.9,46.9,39.3,23.5,44.1,39.4,79.7,60.1,41.3,39.3,27.6,4.2,38,
32,2/1/23,13.7,68,77.7,17.4,63.3,32.5,54.6,43.3,26.3,31.4,73.6,45.7,71.9,39,
33,2/3/23,10.6,67.3,47.3,26.3,54,26.1,33.4,37.7,47,60,42,54.8,50.4,40,
34,2/5/23,9.1,58.1,77,78.1,67.8,73.1,49.7,46.6,30.7,19.3,45.5,59.5,56.5,41,
35,2/7/23,19.3,39,80.9,46.2,61.7,71.3,13.5,54.2,47.3,60.1,35.3,30.4,29,42,
36,2/10/23,18.7,66.4,10.7,31.6,66,71.1,42.7,66.8,64.8,27.9,37.6,20,46,43,
37,2/13/23,13.1,85.9,44.6,34.5,63.6,81.7,27.1,50.3,39.4,25.3,60.4,34.9,51,44,
37,2/13/23,13.1,69.8,81.5,85.3,65.8,77.8,75.3,84.9,58.1,75.6,80.2,98.3,90.7,45,
38,2/14/23,12.2,43.1,49.3,27.3,57.2,80,62.4,27.6,65.6,86.9,30.8,54.6,65.4,46,
39,2/15/23,20,63.4,90.1,23.2,50.7,66.2,49.1,48,68.7,89.9,40.4,20.6,7.1,47,
40,2/16/23,18,55.5,59.8,53.6,56.7,42.4,52.3,73.1,18,31.7,23.2,46.6,42.7,48,
41,2/17/23,3.3,69.9,78.3,54.8,29.4,43.8,41.6,59.6,30,67.7,50.1,39.1,43.7,49,
42,2/18/23,11.3,27.8,34,24.4,32.6,48.7,54.6,49.2,35.1,10.2,84.4,77.6,34.9,50,
43,2/19/23,18,67.7,48.9,30.3,69.2,44.3,63.8,83.8,68.5,48.5,95.2,85.6,31.6,51,
44,2/21/23,19.5,41.1,32.6,52.3,79.4,23,58.7,53.6,63.9,29.9,41.8,80.8,45.9,52,
45,2/22/23,14.2,50.3,28.9,51.6,44.9,67.6,0.3,66.8,15.3,90.9,29.7,47.7,43.3,53,
45,2/22/23,14.2,64,61.9,77.4,78.6,76.8,90.6,94.5,69.4,76.2,98.4,72.1,71.2,54,
46,2/24/23,11.9,37.5,62.8,31.7,49,47.4,34.2,58.6,56.6,63.1,41.8,40.6,61.5,55,
46,2/24/23,11.9,83.4,84.1,81.6,77.5,67.3,68.6,72.7,84.8,70.6,99.6,95.1,65.6,56,
47,2/25/23,10.8,35.7,26.4,47.3,48.5,59.9,23.3,34.6,34.2,28.6,28.7,40.1,47.1,57,
48,2/26/23,8.6,70.8,51.6,44.6,39.7,64.4,31.3,26.9,54.1,63.3,61.1,57.1,54,58,
49,3/1/23,8.6,82.6,42.5,0.5,69.1,11,46.6,87.6,30.1,49.8,53.3,46.6,77.9,59,
50,3/3/23,15.2,35.8,61.6,50.8,37.1,56.8,52.7,65.3,47.1,66.7,79.7,43.6,56.6,60,
