"","question_id","time_stamp","time_spent_min","misc_1a","misc_1b","misc_1c","misc_2a","misc_2b","misc_3a","misc_3b","misc_3c","misc_4a","misc_4b","misc_5a","misc_6a"
"21",21,2022-12-27,5.8,29.5,21.8,38.9,63.2,66.3,29.8,14.1,47.2,49.1,24.8,32.8,17.9
"22",22,2022-12-28,2.8,12.2,63.4,37.6,60,39.2,63.1,66.9,83.7,45.1,72.3,55.9,69.7
"23",23,2022-12-30,11.9,15.3,49.2,45.5,33.6,80.1,47.5,58.9,26.7,72,63.3,29.2,55.4
"24",24,2023-01-01,16.9,43.7,60,72,60.5,69.1,28.1,50.7,32.2,35.8,57.5,59,69.5
"25",25,2023-01-02,2.3,86.5,28.4,51.7,18.2,23.5,42.5,65.4,53.8,68.3,36.2,79.8,67.4
"251",25,2023-01-02,2.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"25.1",25,2023-01-02,2.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"26",26,2023-01-03,25.5,78.5,31.5,52.8,26.9,32.2,59.1,53.8,59.6,62,83.5,37.3,61.4
"27",27,2023-01-04,26.4,64.1,50.4,70.8,45.4,46.1,48.9,31.1,38.1,36.4,14.3,82,45.7
"271",27,2023-01-04,26.4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"27.1",27,2023-01-04,26.4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"28",28,2023-01-06,24.1,46.1,35.8,39.5,35.2,64.9,81,52.9,48.6,73.8,30.2,35.4,39.4
"29",29,2023-01-08,29,91.9,12.9,64.5,48.4,47.7,25.9,47.9,51.1,43.9,22.6,62.1,38.2
"30",30,2023-01-09,22.2,34.3,46.4,75.6,27.9,64.3,80.3,31.9,88.4,32.8,83.7,21.7,45.1
"31",31,2023-01-10,6.8,59.9,20.6,28.9,34.6,37.6,75.5,87.6,99.3,58,39,52.8,55.6
"32",32,2023-01-11,11.2,67.4,45.4,71.5,50.1,48.7,10.4,64.8,43.4,27.1,35.7,29.5,31.1
"33",33,2023-01-16,25.5,68.3,85.4,67.1,56.4,70.1,43.9,39.9,72.9,56.7,48.6,13.4,41.9
"34",34,2023-01-24,28.3,25.7,46.4,88.5,26.1,55.5,32.3,66.1,52.1,68,31.4,54.4,37
"341",34,2023-01-24,28.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"34.1",34,2023-01-24,28.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"35",35,2023-01-27,16.6,17.9,63.7,58.3,41.8,69.6,17.6,40,67.2,49.8,58.2,42.9,63.1
"351",35,2023-01-27,16.6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"35.1",35,2023-01-27,16.6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"36",36,2023-01-31,29.2,70,56.4,40.2,69.7,56.2,67.9,50.1,71.2,56.6,24.8,51.1,44.4
"37",37,2023-02-01,6.4,80.6,47.3,71.5,73.2,51.8,71.6,83.6,83.4,58.7,57.3,50.3,70.2
"38",38,2023-02-07,7.8,53.1,52.8,43.6,57.2,43.4,66.2,22.2,61.2,59.5,6.5,24.4,60.1
"39",39,2023-02-09,22.1,93.7,49.2,81,68.8,76.6,23.4,48.1,69.1,39.7,36.2,33.2,42.1
"40",40,2023-02-10,5.2,20.4,44.8,3.8,31.1,77.9,47.4,57.1,34.7,46.6,22.9,41.5,46.5
"41",41,2023-02-11,4.4,40.6,81.8,58,59.5,27.4,23.7,14.2,44.8,6.9,72.6,33.5,30.4
"42",42,2023-02-14,17.7,51.6,71.7,32.6,64.7,29.7,29.7,21.5,69.8,28.2,36.9,46.9,16.8
"43",43,2023-02-15,21.6,30.3,31.4,38.2,54.4,62.2,31.2,54,40.8,53.2,73.8,50.1,38.2
"44",44,2023-02-16,11.7,19,32.6,38.8,73.2,73.9,43.5,41,66.4,46.3,36.6,57.8,38.1
"45",45,2023-02-18,9.6,16.4,21.9,81.1,70.8,63.7,76.3,64.4,38.9,36.9,9.8,1.2,81.1
"46",46,2023-02-19,5.2,75.8,22,26.7,19.2,49.4,65.2,78.9,50.4,41.5,25.4,45.5,38.9
"47",47,2023-02-21,20.4,65.4,48.8,43.2,34.5,66.9,53,86.9,27.8,39.8,27.7,14.6,29.4
"48",48,2023-02-24,18.6,34,93.2,62,43.5,64.5,78,47.2,64.1,52.8,62.9,28.3,47.4
"481",48,2023-02-24,18.6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"48.1",48,2023-02-24,18.6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"49",49,2023-02-25,20.4,40.8,40.3,7.2,42.3,27.5,38.8,37.7,30.4,12.6,77.7,48.4,38.1
"491",49,2023-02-25,20.4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"49.1",49,2023-02-25,20.4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"49.2",49,2023-02-25,20.4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"49.3",49,2023-02-25,20.4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"49.4",49,2023-02-25,20.4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"49.5",49,2023-02-25,20.4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"50",50,2023-02-27,15,62.8,86.9,25.8,92.8,80.4,43,24.4,42.5,25,31.2,44.9,28.3
