question_id,time_stamp,time_spent_min,misc_1a,misc_1b,misc_1c,misc_2a,misc_2b,misc_3a,misc_3b,misc_3c,misc_4a,misc_4b,misc_5a,misc_6a
23,1/7/23,1.2,49.8,69.2,58.2,52.6,49.7,37.4,49.6,48,34.3,74.5,20.6,31.8
23,1/7/23,1.2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
23,1/7/23,1.2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
23,1/7/23,1.2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
23,1/7/23,1.2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
24,1/8/23,15.5,17.9,12.7,38.6,39.3,52.5,53.3,50.7,33.2,36.6,78.7,67.6,58.2
25,1/11/23,1.1,79.7,29.2,34.4,69.4,56.5,65.5,34.2,79.5,33.9,46.7,48.5,59.3
26,1/12/23,28.7,45.6,50.8,25.9,75,84.5,44.6,47.2,65.1,58.3,27.5,46.8,94.2
27,1/13/23,16.2,55.9,64.9,41,69.8,26.4,46.7,28.1,20.7,66,36.1,55.2,24.6
28,1/20/23,27.6,70.6,47.1,54.4,50.1,28.8,62.3,21.4,53.6,39.3,84,96.9,63.2
28,1/20/23,27.6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
28,1/20/23,27.6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
29,1/24/23,20.6,58.7,42.6,64,95.8,46.5,56.1,74.5,51.1,47,82.5,65.3,66.3
29,1/24/23,20.6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
29,1/24/23,20.6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
30,1/25/23,27.9,59.5,62.4,43.1,66.7,54.2,64.5,46.9,27.9,91.9,59.4,52,42.8
30,1/25/23,27.9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
30,1/25/23,27.9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
31,1/26/23,6.7,66.5,49.8,75.3,43.3,79.5,19.3,71.7,53.9,26.2,51,59.6,25.4
32,1/28/23,25.6,25.9,59.7,78,55.2,39.6,42.2,50.1,23.5,39.9,39.4,41.9,36.2
33,2/1/23,20.9,50.9,43.8,62.1,56.7,33.2,61,80.4,42.9,33.7,77.6,43,46.4
34,2/2/23,27.1,21,35.7,77.8,35.5,74.5,17.5,20.8,78.1,48.4,69.4,53,23.6
35,2/3/23,12.7,56.3,84.3,26.7,17.9,62.2,50.9,41.2,23.4,31.9,46.4,27.2,51.1
36,2/8/23,29.1,33.7,45.3,57.2,59.3,42.6,53.5,43.7,48.9,29.7,25.2,16.9,34
37,2/9/23,17.6,61,62.3,34.2,57.2,70.7,37.1,87.7,41.7,21.9,31,49.6,76.9
38,2/10/23,4.1,43.3,55.8,36.6,53.9,65.7,83.1,64.6,44.7,92.1,55,68.9,64.8
38,2/10/23,4.1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
38,2/10/23,4.1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
39,2/11/23,3.7,66.7,38.7,34.7,35.2,56.3,26.9,39.4,26.9,36.2,60.4,71.3,54
40,2/12/23,11.1,19.8,41.4,68.3,75.2,40.3,22.8,78.6,81,66.9,18.7,54.4,29.4
41,2/14/23,8.8,75.5,90.3,31.7,70.6,20,58.1,30.4,72.5,22.4,25.6,67.1,46.6
42,2/15/23,12.3,71.5,56.3,46.2,56.8,38.5,80.8,10.9,46.1,33.7,32.7,47.3,41.7
43,2/16/23,13.8,40.9,42.1,31.1,58.2,56.6,29.4,30.3,48.4,47,34.4,29.3,90.4
44,2/19/23,10.4,53.4,44.3,58.3,57.5,18.6,12,57.3,40.4,30.7,30.2,27.2,82.6
45,2/20/23,15.5,19.9,54.6,74.5,52.1,56.8,60.9,41.4,70.5,84.5,38.6,62,31.4
46,2/22/23,9.7,60.4,62.9,83.6,46.1,47.6,76,57.7,54.4,53,29.7,53.8,60.3
47,2/24/23,2.9,43.4,52.8,61.5,14.2,59.3,38,51.1,64.1,77.3,42.5,18.4,58.6
48,2/25/23,16,30,17.9,48.3,48.4,9.1,50.3,60.7,17.4,82.4,43.5,46.5,57.5
48,2/25/23,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
48,2/25/23,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
49,2/27/23,10.2,79.3,50.2,65.1,55.8,31.2,55.2,48.9,33.4,74.4,80,36.2,34.6
50,2/28/23,5,21.5,43.8,29.9,45.9,51.2,49.4,41.1,38.3,33.6,45.8,47.2,91.7
